book_title,author,book_details,review_rating,sentimiento_etiqueta,main_genre
Love Letters to the Dead,Ava Dellaira,"It begins as an assignment for English class: Write a letter to a dead person. Laurel chooses Kurt Cobain because her sister, May, loved him. And he died young, just like May did. Soon, Laurel has a notebook full of letters to people like Janis Joplin, Amy Winehouse, Amelia Earhart, Heath Ledger, and more -- though she never gives a single one of them to her teacher. She writes about starting high school, navigating new friendships, falling in love for the first time, learning to live with her splintering family. And, finally, about the abuse she suffered while May was supposed to be looking out for her. Only then, once Laurel has written down the truth about what happened to herself, can she truly begin to accept what happened to May. And only when Laurel has begun to see her sister as the person she was -- lovely and amazing and deeply flawed -- can she begin to discover her own path in this stunning debut from Ava Dellaira, Love Letters to the Dead.",2.7,Negativo,Young Adult
Love Medicine,Louise Erdrich,"The first book in Louise Erdrich's highly acclaimed ""Native American"" trilogy that includes ""The Beet Queen,"" ""Tracks,"" and ""The Bingo Palace,"" re-sequenced and expanded to include never-before-published chapters.Set on and around a North Dakota Ojibwe reservation, Love Medicine is the epic story about the intertwined fates of two families: the Kashpaws and the Lamartines.With astonishing virtuosity, each chapter draws on a range of voices to limn its tales. Black humor mingles with magic, injustice bleeds into betrayal, and through it all, bonds of love and family marry the elements into a tightly woven whole that pulses with the drama of life.Filled with humor, magic, injustice and betrayal, Erdrich blends family love and loyalty in a stunning work of dramatic fiction.",4.5,Positivo,Fiction
Love Walked In,Marisa de los Santos,"From the New York Times bestselling author of I’d Give Anything and I’ll Be Your Blue Sky comes a “bewitching, warmhearted grown-up fairy tale about old movies, charming princes, and finding happily ever after in the place where you’d least expect it” (Jennifer Weiner).When Martin Grace enters the hip Philadelphia coffee shop Cornelia Brown manages, her life changes forever. But little does she know that her newfound love is only the harbinger of greater changes to come. Meanwhile, across town, Clare Hobbs—eleven years old and abandoned by her erratic mother—goes looking for her lost father. She crosses paths with Cornelia while meeting with him at the café, and the two women form an improbable friendship that carries them through the unpredictable currents of love and life.",3.5,Positivo,Fiction
Love and Garbage,Ivan Klíma,"The narrator of Ivan Klima's novel has temporarily abandoned his work-in-progress -an essay on Kafka -and exchanged his writer's pen for the orange vest of a Prague road-sweeper. As he works, he meditates on Czechoslovakia, on Kafka, on life, on art and, obsessively, on his passionate and adulterous love affair with the sculptress Daria. Gradually he admits the impossibility of being at once an honest writer and an honest lover, and with that agonizing discovery comes a moment of choice.",4.0,Positivo,Fiction
Love and Peaches,Jodi Lynn Anderson," After a not-quite-peachy year apart, three Georgia peaches come home to Darlington Orchard  When Murphy chose New York City, she left her first love behind. Now, a summer in Bridgewater means trading subway trains for pickup trucks and facing the boy she turned her back on. Leeda expects her trip home to be over faster than her new Manhattan boyfriend can hail a cabâ€”until a surprising inheritance saddles her with a huge responsibility.  Birdie's heart led her all the way to Mexico, and heartbreak brings her back to the orchard. But when the Darlington family decides to leave peach trees for palm trees, Birdie gets a crash course in letting goâ€”and learning when to hold on. Together for another juicy summer, carefree Murphy, perfect Leeda, and big-hearted Birdie return to the place that allowed them to bloom. Brimming with all the charm, humor, and heart of Peaches and The Secrets of Peaches, this satisfying conclusion to the series reunites three unlikely best friends for a final sweet farewell.",4.0,Positivo,Young Adult
Love in Exile,Ayşe Kulin,"The bestselling author of Last Train to Istanbul returns with a tale of love defying all boundaries.Sabahat, a beautiful young Muslim woman, is known in her family for her intelligence, drive, and stubbornness. She believes there is more in store for her life than a good marriage and convinces her parents to let her pursue her education, rare for young Turkish women in the 1920s. But no one—least of all Sabahat herself—expects that in the course of her studies she will fall for a handsome Armenian student named Aram.After precious moments alone together, their love begins to blossom. Try as she might to simplify her life and move on, Sabahat has no choice but to follow her heart’s desire. But Aram is Christian, and neither family approves.With only hope to guide their way, they defy age-old traditions, cross into dangerous territory, and risk everything to find their way back to each other. One of Turkey’s most beloved authors brings us an evocative story of two star-crossed lovers inspired by her own family’s history.",3.0,Neutral,Historical Fiction
Love in a Cold Climate and Other Novels,Nancy Mitford,"Contains: The Pursuit of Love (1945)Love in a Cold Climate (1949)The Blessing (1951)Nancy Mitford's Love in a Cold Climate and Other Novels casts a finely gauged net to capture perfectly the foibles and fancies of the English upper class, and includes an introduction by Philip Hensher in Penguin Modern Classics. Nancy Mitford's brilliantly witty, irreverent stories of the upper classes in pre-war London and Paris conjure up a world of glamour, gossip and decadence. In The Pursuit of Love, Love in a Cold Climate and The Blessing, her extraordinary heroines deal with armies of hilariously eccentric relatives, the excitement of love and passion, and the thrills of the social Season. But beneath the glittering surfaces and perfectly timed comic dialogue, Nancy Mitford's novels are also touching hymns to a lost era and to the brevity of life and love from one of the most individual, beguiling and creative users of the language.",4.0,Neutral,Fiction
Love in the Time of Cholera,Gabriel García Márquez,"In their youth, Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy, well-born doctor, Florentino is heartbroken, but he is a romantic. As he rises in his business career he whiles away the years in 622 affairs—yet he reserves his heart for Fermina. Her husband dies at last, and Florentino purposefully attends the funeral. Fifty years, nine months, and four days after he first declared his love for Fermina, he will do so again.",2.7,Negativo,Fiction
"Love is the Answer, God is the Cure: A True Story of Abuse, Betrayal and Unconditional Love",Aimee Cabo Nikolov,"Her family secrets burst in the spotlight when Aimee and her sister went to the authorities. In this riveting memoir Aimee Cabo shares the inside story of a young girl's courage to stand up to sexual, physical, and emotional abuse while facing her abusers in a trial the media dubbed ""The Case from Hell."" As she fought court battles, poverty, abuse, and addiction Aimee always turned to love and God.Love is the Answer, God is the Cure is a story of a woman who triumphed against all odds, persevered to find true love and form a family that could withstand anything.",4.5,Positivo,Nonfiction
"Love, Stargirl",Jerry Spinelli,"LOVE, STARGIRL picks up a year after Stargirl ends and reveals the new life of the beloved character who moved away so suddenly at the end of Stargirl . The novel takes the form of ""the world's longest letter,"" in diary form, going from date to date through a little more than a year's time. In her writing, Stargirl mixes memories of her bittersweet time in Mica, Arizona, with involvements with new people in her life.In Love, Stargirl , we hear the voice of Stargirl herself as she reflects on time, life, Leo, and - of course - love.From the Hardcover edition.",2.7,Negativo,Young Adult
"Love, etc.",Julian Barnes,"Twice shortlisted for the Booker Prize, Julian Barnes continues to reinvigorate the novel with his pyrotechnic verbal skill and playful manipulation of plot and character. In Love, etc. he uses all the surprising, sophisticated ingredients of a delightful farce to create a tragicomedy of human frailties and needs. After spending a decade in America as a successful businessman, Stuart returns to London and decides to look up his ex-wife Gillian. Their relationship had ended years before when Stuart’s witty, feckless, former best friend Oliver stole her away. But now Stuart finds that the intervening years have left Oliver’s artistic ambitions in ruins and his relationship with Gillian on less than solid footing. When Stuart begins to suspect that he may be able to undo the results of their betrayal, he resolves to act. Written as an intimate series of crosscutting monologues that allow each character to whisper their secrets and interpretations directly to the reader, Love, etc. is an unsettling examination of confessional culture and a profound refection on the power of perspective.",4.5,Positivo,Fiction
Lovely War,Julie Berry,"It's 1917, and World War I is at its zenith when Hazel and James first catch sight of each other at a London party. She's a shy and talented pianist; he's a newly minted soldier with dreams of becoming an architect. When they fall in love, it's immediate and deep--and cut short when James is shipped off to the killing fields.Aubrey Edwards is also headed toward the trenches. A gifted musician who's played Carnegie Hall, he's a member of the 15th New York Infantry, an all-African-American regiment being sent to Europe to help end the Great War. Love is the last thing on his mind. But that's before he meets Colette Fournier, a Belgian chanteuse who's already survived unspeakable tragedy at the hands of the Germans.Thirty years after these four lovers' fates collide, the Greek goddess Aphrodite tells their stories to her husband, Hephaestus, and her lover, Ares, in a luxe Manhattan hotel room at the height of World War II. She seeks to answer the age-old question: Why are Love and War eternally drawn to one another? But her quest for a conclusion that will satisfy her jealous husband uncovers a multi-threaded tale of prejudice, trauma, and music and reveals that War is no match for the power of Love.A sweeping, multi-layered romance with a divine twist, by the Printz Honor-winning author of The Passion of Dolssa, set in the perilous days of World Wars I and II.",4.5,Positivo,Historical Fiction
Lovers & Players,Jackie Collins,"Dangerous sex, family secrets, irresistible power, mega money, and two murders equal one reckless week in New York...In Lovers & Players, the Diamond family rules. Red Diamond is an abusive and much-loathed billionaire. His three sons, Max, Chris, and Jett, are summoned to New York for a family meeting which rocks their world.Diahann, a beautiful black ex-singer, works as Red's housekeeper-a job her daughter, Liberty, does not approve of. A waitress and would-be singer herself, Liberty has dreams of her own and while she pursues them, Damon P. Donnell, married hip-hop mogul supreme, pursues her.Young New York heiress Amy Scott-Simon is engaged to marry Max. At her bachelorette party she runs into Jett. Jett has no idea who Amy is. She also doesn't realize who he is. A one-night fling leads to major complications.Now the lives of these characters will intertwine, forever changing their destinies, in this highly charged love story about family relationships and deadly choices.""A decadent concoction sure to appeal...a fast lane take on the lives of the rich and fabulous.""-Kirkus Reviews",3.0,Negativo,Fiction
Loving,Henry Green,"One of his most admired works, Loving describes life above and below stairs in an Irish country house during the Second World War. In the absence of their employers the Tennants, the servants enact their own battles and conflict amid rumours about the war in Europe, invading one another's provinces of authority to create an anarchic environment of self-seeking behaviour, pilfering, gossip, and love.With an Introduction by Philip Hensher",3.5,Positivo,Fiction
Loving Frank,Nancy Horan,"I have been standing on the side of life, watching it float by. I want to swim in the river. I want to feel the current.So writes Mamah Borthwick Cheney in her diary as she struggles to justify her clandestine love affair with Frank Lloyd Wright. Four years earlier, in 1903, Mamah and her husband, Edwin, had commissioned the renowned architect to design a new home for them. During the construction of the house, a powerful attraction developed between Mamah and Frank, and in time the lovers, each married with children, embarked on a course that would shock Chicago society and forever change their lives. In this ambitious debut novel, fact and fiction blend together brilliantly. While scholars have largely relegated Mamah to a footnote in the life of America’s greatest architect, author Nancy Horan gives full weight to their dramatic love story and illuminates Cheney’s profound influence on Wright. Drawing on years of research, Horan weaves little-known facts into a compelling narrative, vividly portraying the conflicts and struggles of a woman forced to choose between the roles of mother, wife, lover, and intellectual. Horan’s Mamah is a woman seeking to find her own place, her own creative calling in the world. Mamah’s is an unforgettable journey marked by choices that reshape her notions of love and responsibility, leading inexorably ultimately lead to this novel’s stunning conclusion. Elegantly written and remarkably rich in detail, Loving Frank is a fitting tribute to a courageous woman, a national icon, and their timeless love story.",3.5,Positivo,Historical Fiction
"Lucia, Lucia",Adriana Trigiani,"It is 1950 in glittering, vibrant New York City. Lucia Sartori is the beautiful twenty-five-year-old daughter of a prosperous Italian grocer in Greenwich Village. The postwar boom is ripe with opportunities for talented girls with ambition, and Lucia becomes an apprentice to an up-and-coming designer at chic B. Altman's department store on Fifth Avenue. Engaged to her childhood sweetheart, the steadfast Dante DeMartino, Lucia is torn when she meets a handsome stranger who promises a life of uptown luxury that career girls like her only read about in the society pages. Forced to choose between duty to her family and her own dreams, Lucia finds herself in the midst of a sizzling scandal in which secrets are revealed, her beloved career is jeopardized, and the Sartoris' honor is tested.",4.0,Neutral,Fiction
Luck in the Shadows,Lynn Flewelling,"When young Alec of Kerry is taken prisoner for a crime he didn’t commit, he is certain that his life is at an end. But one thing he never expected was his cellmate. Spy, rogue, thief, and noble, Seregil of Rhiminee is many things–none of them predictable. And when he offers to take on Alec as his apprentice, things may never be the same for either of them. Soon Alec is traveling roads he never knew existed, toward a war he never suspected was brewing. Before long he and Seregil are embroiled in a sinister plot that runs deeper than either can imagine, and that may cost them far more than their lives if they fail. But fortune is as unpredictable as Alec’s new mentor, and this time there just might be… Luck in the Shadows.",3.0,Negativo,Fantasy
Lucky,Alice Sebold,"In a memoir hailed for its searing candor and wit, Alice Sebold reveals how her life was utterly transformed when, as an eighteen-year-old college freshman, she was brutally raped and beaten in a park near campus. What propels this chronicle of her recovery is Sebold's indomitable spirit - as she struggles for understanding (""After telling the hard facts to anyone, from lover to friend, I have changed in their eyes""); as her dazed family and friends sometimes bungle their efforts to provide comfort and support; and as, ultimately, she triumphs, managing through grit and coincidence to help secure her attacker's arrest and conviction. In a narrative by turns disturbing, thrilling, and inspiring, Alice Sebold illuminates the experience of trauma victims even as she imparts wisdom profoundly hard-won: ""You save yourself or you remain unsaved.""",2.2,Negativo,Young Adult
Lucky Jim,Kingsley Amis,"Regarded by many as the finest, and funniest, comic novel of the twentieth century, Lucky Jim remains as trenchant, withering, and eloquently misanthropic as when it first scandalized readers back in 1954. This is the story of Jim Dixon, a hapless lecturer in medieval history at a provincial university who knows better than most that “there was no end to the ways in which nice things are nicer than nasty ones.” Kingsley Amis’s scabrous debut leads the reader through a gallery of emphatically English bores, cranks, frauds, and neurotics with whom Dixon must contend in one way or another in order to hold on to his cushy academic perch and win the girl of his fancy.More than just a merciless satire of cloistered college life and stuffy postwar manners, Lucky Jim is an attack on the forces of boredom, whatever form they may take, and a work of art that at once distills and extends an entire tradition of English comic writing, from Fielding and Dickens through Wodehouse and Waugh. As Christopher Hitchens has written, “If you can picture Bertie or Jeeves being capable of actual malice, and simultaneously imagine Evelyn Waugh forgetting about original sin, you have the combination of innocence and experience that makes this short romp so imperishable.”",4.0,Positivo,Fiction
Lucky Man,Michael J. Fox,"In September 1998, Michael J. Fox stunned the world by announcing he had been diagnosed with Parkinson's disease -- a degenerative neurological condition. In fact, he had been secretly fighting it for seven years. The worldwide response was staggering. Fortunately, he had accepted the diagnosis, and by the time the public started grieving for him, he had stopped grieving for himself. Now, with the same passion, humor, and energy, that Fox has invested in his dozens of performances over the last 18 years, he tells the story of his life, his career, and his campaign, to find a cure for Parkinson's.Combining his trademark ironic sensibility, and keen sense of the absurd, he recounts his life -- from his childhood in a small town in western Canada, to his meteoric rise in film and television which made him a worldwide celebrity. Most importantly however, he writes of the last 10 years, during which -- with the unswerving support of his wife, family, and friends -- he has dealt with his illness. He talks about what Parkinson's has given him: the chance to appreciate a wonderful life and career, and the opportunity to help search for a cure, and spread public awareness of the disease. He is a very lucky man, indeed.",4.0,Positivo,Nonfiction
Lucky Son Of A Gun,John Conroe,"Mack Sutton is a normal guy who just happens to attend a very abnormal school. In a college where the pretty girls can kill you with a whisper and most of the guys can bench press a car, Mack and his sister Jetta are just run of the mill people -- or are they? Formerly printed as a Kindle Vella, this is a novel of the Demon Accords that gives a glimpse into the lives of the only non-supernatural kids in College Arcane.",4.5,Positivo,Fantasy
Lucky You,Carl Hiaasen,"Virtually unnoticed, JoLayne Lucks stops by the Grab'n'Go to play the same numbers she's played every week for five years. Each lotto number marking the age at which she dumped a tiresome lover. She doesn't know it yet, but the discarded men in JoLayne's life have finally amounted to something.",4.0,Positivo,Fiction
Lullabies for Little Criminals,Heather O'Neill,"A gritty, heart-wrenching novel about bruised innocence on the city's feral streets—the remarkable debut of a stunning literary talentHeather O'Neill dazzles with a first novel of extraordinary prescience and power, a subtly understated yet searingly effective story of a young life on the streets—and the strength, wits, and luck necessary for survival.At thirteen, Baby vacillates between childhood comforts and adult temptation: still young enough to drag her dolls around in a vinyl suitcase yet old enough to know more than she should about urban cruelties. Motherless, she lives with her father, Jules, who takes better care of his heroin habit than he does of his daughter. Baby's gift is a genius for spinning stories and for cherishing the small crumbs of happiness that fall into her lap. But her blossoming beauty has captured the attention of a charismatic and dangerous local pimp who runs an army of sad, slavishly devoted girls—a volatile situation even the normally oblivious Jules cannot ignore. And when an escape disguised as betrayal threatens to crush Baby's spirit, she will ultimately realize that the power of salvation rests in her hands alone.",4.5,Positivo,Fiction
Lullaby,Chuck Palahniuk,"Carl Streator is a reporter investigating Sudden Infant Death Syndrome for a soft-news feature. After responding to several calls with paramedics, he notices that all the dead children were read the same poem from the same library book the night before they died. It's a 'culling song' - an ancient African spell for euthanising sick or old people. Researching it, he meets a woman who killed her own child with it accidentally. He himself accidentally killed his own wife and child with the same poem twenty years earlier. Together, the man and the woman must find and destroy all copies of this book, and try not to kill every rude sonofabitch that gets in their way. Lullaby is a comedy/drama/tragedy. In that order. It may also be Chuck Palahniuk's best book yet.",2.8,Negativo,Fiction
Luna,Julie Anne Peters,"A groundbreaking novel about a transgender teen, selected as a National Book Award Finalist! Regan's brother Liam can't stand the person he is during the day. Like the moon from whom Liam has chosen his female name, his true self, Luna, only reveals herself at night. In the secrecy of his basement bedroom Liam transforms himself into the beautiful girl he longs to be, with help from his sister's clothes and makeup. Now, everything is about to change: Luna is preparing to emerge from her cocoon. But are Liam's family and friends ready to welcome Luna into their lives? Compelling and provocative, this is an unforgettable novel about a transgender teen's struggle for self-identity and acceptance.",1.5,Negativo,Young Adult
Lunar Park,Bret Easton Ellis,"Bret Ellis, the narrator of Lunar Park, is a writer whose first novel Less Than Zero catapulted him to international stardom while he was still in college. In the years that followed, he found himself adrift in a world of wealth, drugs, and fame, as well as dealing with the unexpected death of his abusive father. After a decade of decadence, a chance for salvation arrives; the chance to reconnect with an actress he was once involved with, and their son. But almost immediately his new life is threatened by a freak sequence of events and a bizarre series of murders that all seem to connect to Ellis’s past. Reality, memoir, and fantasy combine to create not only a fascinating version of this most controversial writer but also a deeply moving novel about love and loss, parents and children, and ultimately forgiveness.",3.7,Positivo,Fiction
Lush Life,Richard Price,"""Price is the greatest writer of dialogue, living or dead, this country has ever produced. Wry, profane, hilarious, and tragic, sometimes in a single line, Lush Life is his masterwork. I doubt anyone will write a novel this good for a long, long time."" — Dennis Lehane""So, what do you do?"" Whenever people asked him, Eric Cash used to have a dozen answers. Artist, actor, screenwriter… But now he's thirty-five years old and he's still living on the Lower East Side, still in the restaurant business, still serving the people he wanted to be. What does Eric do? He manages. Not like Ike Marcus. Ike was young, good-looking, people liked him. Ask him what he did, he wouldn't say tending bar. He was going places--until two street kids stepped up to him and Eric one night and pulled a gun. At least, that's Eric's version.In Lush Life, Richard Price tears the shiny veneer off the 'new' New York to show us the hidden cracks, the underground networks of control and violence beneath the glamour. Lush Life is an X-ray of the street in the age of no broken windows and ""quality of life"" squads, from a writer whose ""tough, gritty brand of social realism…reads like a movie in prose."" — Michiko Kakutani, The New York Times.",3.5,Neutral,Fiction
Lycanthropy and Other Chronic Illnesses,Kristen O'Neal,"“Your next favorite horror-comedy.”—Syfy FangrrlsTeen Wolf meets Emergency Contact in this sharply observed, hilarious, and heartwarming debut young adult novel about friendship, chronic illness, and . . . werewolves.Priya worked hard to pursue her premed dreams at Stanford, but the fallout from undiagnosed Lyme disease sends her back to her childhood home in New Jersey during her sophomore year—and leaves her wondering if she’ll ever be able to return to the way things were.Thankfully she has her online pen pal, Brigid, and the rest of the members of “oof ouch my bones,” a virtual support group that meets on Discord to crack jokes and vent about their own chronic illnesses.When Brigid suddenly goes offline, Priya does something out of character: she steals the family car and drives to Pennsylvania to check on Brigid. Priya isn’t sure what to expect, but it isn’t the horrifying creature that's shut in the basement.With Brigid nowhere to be found, Priya begins to puzzle together an impossible but obvious truth: the creature might be a werewolf—and the werewolf might be Brigid. As Brigid's unique condition worsens, their friendship will be deepened and challenged in unexpected ways, forcing them to reckon with their own ideas of what it means to be normal.",3.3,Positivo,Young Adult
Lyddie,Katherine Paterson,"From two-time Newbery award-winning author Katherine Paterson.When Lyddie and her younger brother are hired out as servants to help pay off their family farm's debts, Lyddie is determined to find a way to reunite her family once again. Hearing about all the money a girl can make working in the textile mills in Lowell, Massachusetts, she makes her way there, only to find that her dreams of returning home may never come true.Includes an all-new common core aligned educator's guide.Rich in historical detail...a superb story of grit, determination, and personal growth. --The Horn Book, starred reviewLyddie is full of life, full of lives, full of reality. --The New York Times Book ReviewAn ALA Notable Book An ALA Best Book for Young Adults A Booklist Editor's Choice American Bookseller Pick of the Lists School Library Journal Best Book  Parents magazine Best Book",3.0,Negativo,Historical Fiction
Lying Awake,Mark Salzman,"In a Carmelite monastery on the outskirts of Los Angeles, life has continued virtually unchanged for centuries. Here, Sister John of the Cross lives in the service of God. She is the only nun who experiences visions and is regarded by the others as a spiritual master. But Sister John is also plagued by powerful headaches and when a doctor reveals that they may be dangerous, she faces a devastating choice. Is this grace merely an illness and will a ‘cure' mean the end of her illuminations and a soul dry and searching?",4.5,Positivo,Fiction
Lyra's Oxford,Philip Pullman,"Lyra's Oxford begins with Lyra and Pantalaimon spotting a witch's dæmon. Lyra shelters the daemon from the pursuit of a frenzied pack of birds, and then attempts to help by guiding the daemon to the home of an alchemist living in a part of Oxford known as Jericho. The journey through Oxford reveals more dangers than Lyra had anticipated.",4.0,Positivo,Fantasy
Mad Kestrel,Misty Massey,"A rip-roaring pirate romance and mysteryIn a world where infants with magical powers are torn from their parents to be raised by the mysterious and powerful Danisoba, who have a monopoly on magic, Kestrel has managed to keep her abilities concealed—and herself free. First hiding in back alleys as a street urchin, she hid when they killed her parents, and then served as a young tavern maid before escaping to sea, where magic is cancelled by water.Now an adult, as the quartermaster of a pirate ship, Kestrel loves the freedom of living on the seas. But her way of life could end if anyone on board learns her closely guarded secret—that she has magical control over the wind.One day a black ship appears, and her life changes. Its captain is a handsome rogue of whom Kestrel is strangely, constantly aware.When Kestrel's captain is led into a trap and is arrested, she gathers her crew and sets sail in relentless pursuit. . . .",3.2,Positivo,Fantasy
"Mad, Bad, and Sad: Women and the Mind Doctors",Lisa Appignanesi,"A brave and brilliantly researched intellectual history of the relationship between women and mental illness since 1800. This is the story of how we have understood extreme states of mind over the last two hundred years and how we conceive of them today, from the depression suffered by Virginia Woolf and Sylvia Plath to the mental anguish and addictions of iconic beauties Zelda Fitzgerald and Marilyn Monroe. From Mary Lamb, sister of Charles, who in the throes of a nervous breakdown turned on her mother with a kitchen knife, to Freud, Jung, and Lacan, who developed the new women-centered therapies, Lisa Appignanesi’s research traces how more and more of the inner lives and emotions of women have become a matter for medics and therapists. Here too is the story of how over the years symptoms and diagnoses have developed together to create fashions in illness and how treatments have succeeded or sometimes failed. Mad, Bad, and Sad takes us on a fascinating journey through the fragile, extraordinary human mind.",3.3,Negativo,Nonfiction
Madame Bovary,Gustave Flaubert,"Madame Bovary is the debut novel of French writer Gustave Flaubert, published in 1856. The character lives beyond her means in order to escape the banalities and emptiness of provincial life. When the novel was first serialized in La Revue de Paris between 1 October 1856 and 15 December 1856, public prosecutors attacked the novel for obscenity. The resulting trial in January 1857 made the story notorious. After Flaubert's acquittal on 7 February 1857, Madame Bovary became a bestseller in April 1857 when it was published in two volumes. A seminal work of literary realism, the novel is now considered Flaubert's masterpiece, and one of the most influential literary works in history.",3.0,Negativo,Fiction
MaddAddam,Margaret Atwood,"A man-made plague has swept the earth, but a small group survives, along with the green-eyed Crakers – a gentle species bio-engineered to replace humans. Toby, onetime member of the Gods Gardeners and expert in mushrooms and bees, is still in love with street-smart Zeb, who has an interesting past. The Crakers’ reluctant prophet, Snowman-the-Jimmy, is hallucinating; Amanda is in shock from a Painballer attack; and Ivory Bill yearns for the provocative Swift Fox, who is flirting with Zeb. Meanwhile, giant Pigoons and malevolent Painballers threaten to attack. Told with wit, dizzying imagination, and dark humour, Booker Prize-winning Margaret Atwood’s unpredictable, chilling and hilarious MaddAddam takes us further into a challenging dystopian world and holds up a skewed mirror to our own possible future.",3.7,Positivo,Fiction
Made in America,Bill Bryson,"In this sequel to his history of the English language, Mother Tongue, Bryson takes an informed and fond look at the history of Americans through their popular culture and language. He explains why they drive on the right, say lootenant, and call a certain type of sandwich a hamburger.",2.8,Negativo,Nonfiction
Madouc,Jack Vance,"The World Fantasy Award-winning third volume of the Lyonesse trilogy brings attention to the faerie changeling Madouc. Where princess Suldrun once meekly endured the proprieties of Castle Haidion, Madouc defends herself with rotten fruit. Vexed, King Casmir arranges a contest to marry her off, but Madouc has other ideas, and enlists the stableboy ""Sir Pom-pom"" on an impromptu quest to find her father. During their travels, they encounter swindlers, faeries, trolls, ogres, a knight in search of his youth, and a relatively pedestrian item known as the Holy Grail. As the sorcerers Shimrod and Murgen investigate portents of cataclysm in the world of magic, Casmir plans a murder that will bring all the lands under his iron rule; however, his ambitions will be complicated by one small but important oversight--he's failed to allow for Madouc!",4.0,Positivo,Fantasy
Magic Kingdom for Sale/Sold,Terry Brooks,"Landover was a genuine magic kingdom, complete with fairy folk and wizardry, just as the advertisement had promised. But after he purchased it for a million dollars, Ben Holiday discovered that there were a few details the ad had failed to mention. Such as the fact that the kingdom was falling into ruin. The barons refused to recognize a king and taxes hadn't been collected for years. The dragon, Strabo, was laying waste to the countryside, while the evil witch, Nightshade, was plotting to destroy no less than everything. And if that weren't enough for a prospective king to deal with, Ben soon learned that the Iron Mark, terrible lord of the demons, challenged all pretenders to the throne of Landover to a duel to the death - a duel no mere mortal could hope to win. But Ben Holiday had one human trait that even magic couldn't overcome. Ben Holiday was stubborn...",3.5,Neutral,Fantasy
Magic Steps,Tamora Pierce,"Lady Sandrilene fa Toren knows all about unusual magic - she herself spins and weaves it like thread. But when she witnessed a boy dancing a spell, even she is confounded. To her dismay, Sandry learns that as the mage who discovered the power of the young dancer, she must be his teacher. Before lessons can begin, however, Sandry and her uncle, Duke Vedris, get news of a mysterious murderer stalking a clan of local merchants. The killer employs the strangest magic of all: the ability to reduce essence to nothingness. As the murders mount and the killer grows bolder, Sandry's teaching takes on a grave purpose. For it becomes clear to everyone that the killings can only be stopped by the combined workings of two people: the young teacher and her even younger student.",3.5,Neutral,Fantasy
Magic Study,Maria V. Snyder,"You know your life is complicated when you miss your days as a poison taster...With her greatest enemy dead, and on her way to be united with the family she'd been stolen from long ago, Yelena should be pleased. But although she has gained her freedom, she once again finds herself alone - separated from her lover Valek and suspected as a spy for her reluctance to conform to Sitian ways.Despite the turmoil, she's eager to start her magic training - especially as she's been given one year to harness her power or be put to death. But her plans take a radical turn when she becomes embroiled in a plot to reclaim Ixia's throne for a lost prince - and gets entangled in powerful rivalries with her fellow magicians. If that wasn't bad enough, it appears her brother would love to see her dead. Luckily, Yelena has some old friends to help her with her new enemies.",3.5,Positivo,Fantasy
Magic and Other Misdemeanors,Michael Buckley,"Daphne, Sabrina, and Puck’s most magic-filled mysteryThe latest addition to the New York Times bestselling series, which Kirkus Reviews calls “memorable and madcap”In book five of the series, Sabrina and Daphne Grimm are ready to tackle their own Who is stealing the magical possessions of the most powerful Everafters in town? With Granny distracted by Mayor Heart’s campaign against human residents, the girl detectives are on their own. Puss in Boots (now an exterminator), Cinderella (a radio relationship counselor), Sleeping Beauty (owner of a coffee shop), and their old enemy, Prince Charming, are among the many suspects, and one thing is for The villain’s plans mean a grim future for the Grimms—truly!",4.0,Positivo,Fantasy
Magic by the Lake,Edward Eager,"If Jane and Mark and Katharine and Martha had stopped to think, they might have ordered magic by the pound, or by the day, but a lakeful of magic causes extraordinary and unexpected events. By the end of vacation, with an unwilling sly old turtle, and Ali Baba's forty thieves, they help stepfather Mr. Smith save his failing bookstore in a most surprising way.",4.0,Neutral,Fantasy
Magic's Pawn,Mercedes Lackey,"Mage-Craft—Though Vanyel has been born with near-legendary abilities to work both Herald and Mage magic, he wants no part of such things. Nor does he seek a warrior's path, wishing instead to become a Bard. Yet such talent as his if left untrained may prove a menace not only to Vanyel but to others as well. So he is sent to be fostered with his aunt, Savil, one of the famed Herald-Mages of Valdemar.But, strong-willed and self-centered, Vanyel is a challenge which even Savil can not master alone. For soon he will become the focus of frightening forces, lending his raw magic to a spell that unleashes terrifying wyr-hunters on the land. And by the time Savil seeks the assistance of a Shin'a'in Adept, Vanyel's wild talent may have already grown beyond anyone's ability to contain, placing Vanyel, Savil, and Valdemar itself in desperate peril...",3.7,Positivo,Fantasy
Magic's Price,Mercedes Lackey,"The final chapter in Mercedes Lackey's spellbinding fantasy trilogy! The Herald-Mage, Vanyel, and his Companion, Yfandes, are alone responsible for saving the once-peaceful kingdom of Valdemar from the forces of a master who wields a dark, forbidding magic. And if either Vanyel or Yfandes falters, both Valdemar and its Herald-Mage must pay the ultimate price.",4.0,Positivo,Fantasy
